City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,island harbour,50.724,-1.2758,7.18,93,22,1.01,GB,1681787568
279,igrim,63.1906,64.4162,-8.67,78,37,8.05,RU,1681787568
280,antofagasta,-23.65,-70.4,17.6,82,43,4.99,CL,1681787535
281,harnai,30.1005,67.9374,22.76,40,34,2.53,PK,1681787568
282,binzhou,37.3667,118.0167,23.13,37,43,12.15,CN,1681787568
283,lompoc,34.6391,-120.4579,11.44,86,0,11.5,US,1681787568
284,longyearbyen,78.2186,15.6401,-6.09,79,75,6.91,SJ,1681787568
285,geraldton,-28.7667,114.6,24.23,46,0,12.66,AU,1681787533
286,olonkinbyen,70.9221,-8.7187,1.49,94,100,22.55,SJ,1681787568
287,amarillo,35.222,-101.8313,19.88,30,0,19.57,US,1681787568
288,bel ombre,-4.6167,55.4167,28.47,71,35,2.51,SC,1681787569
289,hinton,53.4001,-117.5857,-2.13,80,34,3.36,CA,1681787569
290,praia da vitoria,38.7333,-27.0667,13.27,68,54,7.27,PT,1681787569
291,sarandi,-23.4436,-51.8739,19.72,97,60,3.67,BR,1681787569
292,ha tinh,18.3333,105.9,34.89,48,0,2.28,VN,1681787569
293,nemuro,43.3236,145.575,4.26,70,24,2.51,JP,1681787569
294,tsiroanomandidy,-18.7667,46.0333,16.76,95,99,2.62,MG,1681787570
295,yazd,31.8972,54.3675,13.06,33,20,4.61,IR,1681787570
296,beau vallon,-20.4189,57.6953,24.56,81,30,9.22,MU,1681787570
297,preobrazheniye,42.9019,133.9064,7.46,72,100,6.08,RU,1681787570
298,sturgis,41.7992,-85.4192,1.89,86,100,9.22,US,1681787570
299,ketchikan,55.3422,-131.6461,8.26,57,0,8.05,US,1681787570
300,mermoz boabab,14.7065,-17.4758,21.31,89,8,20.98,SN,1681787570
301,ciudad lazaro cardenas,17.9583,-102.2,24.89,82,14,0.81,MX,1681787570
302,al kharijah,25.4514,30.5464,22.67,13,0,3.33,EG,1681787570
303,basco,20.4487,121.9702,26.32,86,16,13.13,PH,1681787571
304,balabac,7.9868,117.0645,30.19,67,71,11.74,PH,1681787571
305,st. john's,47.5649,-52.7093,-2.69,87,15,1.01,CA,1681787571
306,ostersund,63.1792,14.6357,1.25,80,40,5.75,SE,1681787571
307,bandarbeyla,9.4942,50.8122,27.01,73,8,6.35,SO,1681787571
308,pailon,-17.65,-62.75,18.95,93,100,4.9,BO,1681787571
309,rawlins,41.7911,-107.2387,8.53,45,0,8.72,US,1681787547
310,ishqoshim,36.7248,71.6133,5.89,95,100,5.48,TJ,1681787571
311,tromso,69.6496,18.957,4.01,87,100,8.05,NO,1681787560
312,puerto aysen,-45.4,-72.7,6.34,99,100,4.54,CL,1681787572
313,nieuw amsterdam,5.8833,-55.0833,25.57,93,96,8.86,SR,1681787572
314,makedonski brod,41.5136,21.2153,8.49,90,93,1.66,MK,1681787462
315,bereket,39.2446,55.5154,9.82,28,9,19.98,TM,1681787572
316,ed damer,17.5928,33.9592,24.57,16,37,9.19,SD,1681787572
317,vila velha,-20.3297,-40.2925,22.97,95,0,3.44,BR,1681787559
318,dalandzadgad,43.5708,104.425,18.27,18,48,17.74,MN,1681787572
319,santa helena,-2.2311,-45.3,23.54,98,100,2.15,BR,1681787572
320,lhasa,29.65,91.1,10.75,49,46,2.86,CN,1681787573
321,alaghsas,17.0187,8.0168,26.24,13,20,4.14,NE,1681787573
322,kalabo,-14.97,22.6814,18.69,82,93,4.61,ZM,1681787573
323,kralendijk,12.15,-68.2667,25.99,78,40,10.36,BQ,1681787573
324,qaqortoq,60.7167,-46.0333,-0.82,88,50,4.85,GL,1681787573
325,tofol,5.3248,163.0078,30.88,62,75,4.61,FM,1681787573
326,khadzhalmakhi,42.42,47.1821,8.63,69,10,3.13,RU,1681787573
327,nar'yan-mar,67.6713,53.087,-12.26,83,38,6.02,RU,1681787573
328,reggane,26.7158,0.1714,24.71,15,3,13.44,DZ,1681787574
329,khandyga,62.6667,135.6,0.61,88,79,3.11,RU,1681787574
330,kayes,14.0,-11.0,32.41,15,5,6.96,ML,1681787574
331,yuzhno-kurilsk,44.0306,145.8556,3.88,75,71,13.33,RU,1681787574
332,seversk,56.6006,84.8864,-10.51,76,88,11.54,RU,1681787574
333,luau,-10.7073,22.2247,16.97,98,84,3.51,AO,1681787574
334,schlusser,40.2417,-77.1769,11.1,50,38,5.01,US,1681787574
335,malvan,16.0667,73.4667,28.78,70,1,1.61,IN,1681787574
336,inari,68.906,27.0288,2.11,93,66,5.12,FI,1681787574
337,kone,-21.0595,164.8658,25.42,88,97,8.68,NC,1681787575
338,brokopondo,4.75,-55.1667,24.03,93,100,7.96,SR,1681787575
339,san patricio,28.017,-97.5169,22.13,68,71,13.49,US,1681787549
340,mount isa,-20.7333,139.5,29.87,45,12,9.22,AU,1681787575
341,kirensk,57.7853,108.1119,-0.88,59,100,7.4,RU,1681787575
342,pishva,35.308,51.7267,14.59,39,65,9.24,IR,1681787575
343,dhidhdhoo,6.8833,73.1,28.44,71,9,4.52,MV,1681787575
344,north battleford,52.7834,-108.2847,6.89,32,68,11.7,CA,1681787575
345,coquimbo,-29.9533,-71.3436,12.85,87,0,3.44,CL,1681787535
346,prado,-17.3411,-39.2208,24.33,85,2,5.7,BR,1681787576
347,ebaye,8.7748,167.7392,29.01,74,40,6.91,MH,1681787576
348,chul'man,56.8479,124.9104,-6.27,68,100,9.08,RU,1681787576
349,tura,25.5198,90.2201,31.74,49,0,8.84,IN,1681787576
350,sucre,-19.0333,-65.2627,13.85,81,56,6.64,BO,1681787576
351,shohimardon,39.9839,71.8028,4.43,99,100,3.96,UZ,1681787576
352,pratt,37.6439,-98.7376,22.12,28,0,11.5,US,1681787576
353,floro,61.5996,5.0328,5.54,93,93,5.75,NO,1681787576
354,sao raimundo nonato,-9.0153,-42.6994,23.79,55,100,3.56,BR,1681787577
355,palikir - national government center,6.9248,158.1611,30.47,79,100,10.36,FM,1681787577
356,alofi,-19.0595,-169.9187,23.94,94,100,6.91,NU,1681787577
357,chibougamau,49.9168,-74.3659,3.79,100,100,4.61,CA,1681787577
358,aras-asan,8.8908,126.3033,29.13,68,79,4.81,PH,1681787577
359,bloomfield,40.8068,-74.1854,15.92,46,100,18.41,US,1681787577
360,tymovskoye,50.8456,142.655,4.42,57,14,6.02,RU,1681787577
361,nabire,-3.3667,135.4833,29.83,62,94,4.14,ID,1681787577
362,damaturu,11.747,11.9608,28.84,24,90,3.33,NG,1681787578
363,mount gambier,-37.8333,140.7667,20.94,51,5,14.25,AU,1681787578
364,tarija,-21.5355,-64.7296,12.74,87,100,3.65,BO,1681787578
365,lakeview,42.432,-75.8655,7.23,71,91,6.24,US,1681787578
366,ferrandina,40.5012,16.4547,7.81,91,100,4.23,IT,1681787578
367,bodaybo,57.8506,114.1933,-2.43,63,42,2.57,RU,1681787578
368,novodvinsk,64.4165,40.8122,-4.58,96,92,0.76,RU,1681787578
369,general acha,-37.377,-64.6043,8.62,67,12,10.4,AR,1681787578
370,muromtsevo,56.3724,75.2418,-8.84,62,100,10.74,RU,1681787578
371,guane,22.2025,-84.0875,21.79,73,25,6.85,CU,1681787579
372,cidreira,-30.1811,-50.2056,19.29,71,87,6.35,BR,1681787556
373,tamanrasset,22.785,5.5228,16.95,12,0,4.61,DZ,1681787579
374,holualoa,19.6228,-155.9522,25.31,81,40,17.27,US,1681787579
375,grand falls-windsor,48.9332,-55.6649,-0.28,81,91,4.45,CA,1681787579
376,udachny,66.4167,112.4,-4.75,79,100,12.91,RU,1681787579
377,howard springs,-12.497,131.047,29.34,59,49,7.85,AU,1681787579
378,trinity beach,-16.7888,145.6968,28.34,90,75,8.05,AU,1681787579
379,lubango,-14.9172,13.4925,15.15,75,83,3.83,AO,1681787580
380,jurm,36.8648,70.8342,7.24,99,100,4.7,AF,1681787580
381,pedro munoz,39.4041,-2.9223,8.02,66,5,12.41,ES,1681787580
382,skiathos,39.1623,23.4909,11.65,85,99,17.47,GR,1681787580
383,mirnyy,62.5353,113.9611,-3.2,33,31,11.01,RU,1681787580
384,arvayheer,46.2639,102.775,14.01,15,68,20.6,MN,1681787580
385,aligudarz,33.4006,49.6949,9.53,48,19,4.76,IR,1681787580
386,klotze,52.6167,11.1667,8.45,91,100,9.42,DE,1681787580
387,tibati,6.4667,12.6333,20.26,88,97,2.64,CM,1681787580
388,eirunepe,-6.6603,-69.8736,22.08,94,100,1.48,BR,1681787581
389,orneta,54.1148,20.1333,7.2,95,99,7.85,PL,1681787581
390,nadvoitsy,63.8667,34.3167,-3.56,98,98,6.73,RU,1681787581
391,porto novo,6.4965,2.6036,26.86,85,99,4.85,BJ,1681787581
392,zeribet el oued,34.6828,6.5111,16.16,40,0,5.61,DZ,1681787582
393,qamdo,31.1667,97.2333,6.54,35,7,2.86,CN,1681787582
394,cumaral,4.2708,-73.4867,23.65,82,96,3.0,CO,1681787582
395,konakovo,56.7,36.7667,6.94,79,100,1.9,RU,1681787582
396,burela de cabo,43.65,-7.4,9.81,90,20,16.87,ES,1681787567
397,malango,-2.9627,119.9001,28.25,60,92,2.98,ID,1681787583
398,mont-dore,-22.2833,166.5833,26.67,99,100,14.61,NC,1681787583
399,khovd,48.0056,91.6419,7.57,21,12,29.12,MN,1681787583
400,vadso,70.0744,29.7487,2.49,87,75,14.97,NO,1681787583
401,borgo,46.0514,11.4544,10.66,73,85,3.91,IT,1681787583
402,rosalie,15.3667,-61.2667,23.98,75,30,12.46,DM,1681787584
403,mcdonough,40.4667,-90.6668,9.25,65,0,9.22,US,1681787515
404,puerto baquerizo moreno,-0.9,-89.6,26.77,77,70,5.86,EC,1681787584
405,san carlos de bariloche,-41.1456,-71.3082,1.44,87,100,15.59,AR,1681787584
406,sao bento,-6.2833,-37.75,22.05,91,100,2.26,BR,1681787584
407,inhambane,-23.865,35.3833,17.99,94,20,0.0,MZ,1681787585
408,katpur,21.05,71.7833,30.95,42,20,11.7,IN,1681787585
409,klyuchi,52.2667,79.1667,-5.28,65,14,19.6,RU,1681787585
410,bacobampo,26.9833,-109.65,24.01,32,31,7.38,MX,1681787585
411,polyarnyy,69.1989,33.4478,1.7,99,100,13.4,RU,1681787586
412,oranjemund,-28.55,16.4333,16.65,61,1,0.94,NA,1681787586
413,minab,27.1467,57.0801,23.66,68,78,2.71,IR,1681787586
414,sayyan,15.1718,44.3244,15.37,52,73,0.54,YE,1681787586
415,clovis,36.8252,-119.7029,16.0,52,100,1.99,US,1681787513
416,chibuto,-24.6867,33.5306,16.42,93,0,4.63,MZ,1681787587
417,broome,42.2506,-75.833,7.94,70,74,5.01,US,1681787587
418,broken hill,-31.95,141.4333,20.41,31,29,5.01,AU,1681787587
419,angaur state,6.906,134.13,28.65,75,58,7.43,PW,1681787587
420,tomatlan,19.9333,-105.25,20.44,81,0,2.04,MX,1681787587
421,villarrica,-25.75,-56.4333,19.51,97,95,1.59,PY,1681787588
422,acapulco de juarez,16.8634,-99.8901,26.62,80,12,4.09,MX,1681787475
423,axim,4.8699,-2.2405,26.43,86,86,2.73,GH,1681787588
424,saint-denis,48.9167,2.3333,8.88,88,20,11.5,FR,1681787588
425,mount pearl,47.5166,-52.7813,-3.15,87,15,5.23,CA,1681787588
426,rongelap,11.1635,166.8941,26.71,72,46,19.8,MH,1681787589
427,luga,58.7372,29.8453,1.32,81,91,4.27,RU,1681787589
428,saint-joseph,-21.3667,55.6167,24.21,81,58,6.67,RE,1681787533
429,taroa,8.7058,171.2275,26.47,82,100,15.79,MH,1681787589
430,tyukhtet,56.5389,89.3011,-10.7,65,100,16.35,RU,1681787590
431,leava,-14.3,-178.1667,27.64,78,99,12.77,WF,1681787590
432,corbin,36.9487,-84.0969,11.25,34,0,4.61,US,1681787545
433,kerikeri,-35.2268,173.9474,21.06,92,87,3.0,NZ,1681787590
434,conception bay south,47.4999,-52.9981,-2.82,87,13,6.55,CA,1681787425
435,luderitz,-26.6481,15.1594,20.53,48,5,4.63,NA,1681787591
436,filadelfia,39.9523,-75.1638,14.52,43,100,27.63,US,1681787563
437,rustaq,23.3908,57.4244,25.69,48,45,1.63,OM,1681787591
438,harstad,68.799,16.5293,4.79,93,86,7.0,NO,1681787591
439,lipnik nad becvou,49.5272,17.5859,9.75,84,100,19.6,CZ,1681787591
440,guozhen,34.3659,107.359,26.26,35,100,2.8,CN,1681787592
441,carutapera,-1.195,-46.02,24.66,94,100,3.4,BR,1681787592
442,fort bragg,35.139,-79.006,16.91,52,0,8.05,US,1681787592
443,liwale,-9.7667,37.9333,19.67,98,99,7.16,TZ,1681787592
444,usinsk,65.9939,57.5281,-12.68,88,6,8.41,RU,1681787592
445,amga,60.8953,131.9608,-2.86,81,100,7.87,RU,1681787592
446,laguna,38.421,-121.4238,13.99,66,0,19.57,US,1681787578
447,huanren,41.2647,125.3667,17.82,34,24,7.61,CN,1681787593
448,bosaso,11.2842,49.1816,27.44,64,5,9.51,SO,1681787593
449,argo,37.6333,22.7333,12.66,80,1,4.23,GR,1681787593
450,newport,51.5877,-2.9984,8.58,87,25,10.74,GB,1681787593
451,oriximina,-1.7656,-55.8661,24.05,95,100,2.44,BR,1681787594
452,dongargarh,21.2,80.7333,34.97,15,45,5.79,IN,1681787594
453,enriquillo,17.9,-71.2333,24.04,84,13,3.51,DO,1681787594
454,wangqing,43.3218,129.7634,7.37,87,100,8.7,CN,1681787595
455,baglung,28.2719,83.5898,29.38,18,0,2.51,NP,1681787595
456,tagta,41.6504,59.9164,6.97,33,0,6.91,TM,1681787595
457,shakawe,-18.3667,21.85,17.26,65,25,4.32,BW,1681787595
458,camana,-16.6228,-72.7111,21.48,85,100,6.55,PE,1681787595
459,walvis bay,-22.9575,14.5053,21.13,63,58,4.18,NA,1681787596
460,yigo village,13.5361,144.8886,30.18,72,75,17.27,GU,1681787596
461,ibshaway,29.358,30.6814,22.85,19,40,1.05,EG,1681787596
462,sungailiat,-1.85,106.1333,30.0,68,49,7.14,ID,1681787596
463,buka,40.8108,69.1986,6.23,52,100,4.65,UZ,1681787597
464,meadow lakes,61.6247,-149.6011,4.69,41,75,6.91,US,1681787364
465,ilhabela,-23.7781,-45.3581,23.26,94,89,3.4,BR,1681787597
466,longonjo,-12.9067,15.2533,15.71,93,68,3.76,AO,1681787598
467,santana,-0.0583,-51.1817,26.1,94,40,6.91,BR,1681787598
468,riberalta,-10.9833,-66.1,23.5,95,100,3.18,BO,1681787598
469,watsonville,36.9102,-121.7569,12.74,78,0,3.44,US,1681787598
470,istgah-e rah ahan-e garmsar,35.2346,52.3094,15.22,40,93,7.16,IR,1681787598
471,oyama,36.3,139.8,18.1,53,100,5.53,JP,1681787598
472,lorengau,-2.0226,147.2712,28.49,77,16,6.6,PG,1681787599
473,dubbo,-32.25,148.6167,24.07,41,75,8.05,AU,1681787599
474,ribeira brava,32.65,-17.0667,19.35,59,29,4.36,PT,1681787599
475,tambura,5.6,27.4667,20.98,79,100,4.83,SS,1681787599
476,isangel,-19.55,169.2667,28.41,79,61,17.16,VU,1681787535
477,nantucket,41.2835,-70.0995,12.03,99,0,9.22,US,1681787599
478,leninskoye,41.7589,69.3864,5.32,62,96,3.53,KZ,1681787600
479,bang saphan,11.2126,99.5117,33.99,50,42,3.71,TH,1681787357
480,new norfolk,-42.7826,147.0587,21.72,63,83,1.99,AU,1681787600
481,inda silase,14.1031,38.2829,20.3,46,48,4.09,ET,1681787600
482,the bottom,17.6259,-63.2492,24.07,73,3,13.69,BQ,1681787601
483,ancud,-41.8697,-73.8203,10.2,88,100,9.8,CL,1681787601
484,pinheiro machado,-31.5783,-53.3811,11.7,91,8,3.24,BR,1681787601
485,newcastle west,52.4492,-9.0611,8.03,98,3,4.83,IE,1681787601
486,grand island,40.925,-98.342,15.16,32,0,10.36,US,1681787602
487,yerofey pavlovich,53.9667,121.9667,-0.71,42,29,8.32,RU,1681787602
488,cuyo,10.8525,121.0086,28.97,72,28,1.92,PH,1681787602
489,yeed,4.55,43.0333,25.34,76,60,6.76,SO,1681787602
490,ternate,0.8,127.4,29.4,68,54,4.97,ID,1681787602
491,saudarkrokur,65.7461,-19.6394,7.16,74,4,14.07,IS,1681787603
492,tranqueras,-31.2,-55.75,10.58,83,2,1.23,UY,1681787603
493,las vegas,36.175,-115.1372,25.69,11,75,24.16,US,1681787437
494,kribi,2.95,9.9167,25.91,89,100,2.55,CM,1681787603
495,ixtapa,20.7,-105.2,20.67,73,1,1.88,MX,1681787603
496,piacabucu,-10.4056,-36.4344,24.96,84,100,4.16,BR,1681787604
497,poyang,28.9924,116.6675,21.1,94,100,10.0,CN,1681787604
498,kyosai,34.8503,128.5886,18.98,96,100,13.96,KR,1681787604
499,cushing,35.9851,-96.767,20.59,32,0,6.91,US,1681787604
500,richards bay,-28.783,32.0377,17.69,74,0,8.32,ZA,1681787604
501,stornoway,58.2093,-6.3865,9.96,96,96,0.0,GB,1681787604
502,desnogorsk,54.1508,33.2815,5.76,83,88,4.92,RU,1681787604
503,weno,7.4515,151.8468,27.99,79,85,14.97,FM,1681787605
504,kavaratti,10.5669,72.642,28.69,76,4,5.48,IN,1681787605
505,belmonte,-15.8631,-38.8828,25.02,76,16,3.87,BR,1681787605
506,kourou,5.1552,-52.6478,24.03,92,100,9.37,GF,1681787605
507,gorontalo,0.5412,123.0595,32.3,58,86,2.86,ID,1681787605
508,andovoranto,-18.95,49.1,22.63,91,100,9.57,MG,1681787606
509,virginia beach,36.8529,-75.978,16.68,58,20,3.44,US,1681787543
510,paciran,-6.8767,112.3761,29.19,72,86,7.11,ID,1681787606
511,sonoita,31.85,-112.8333,21.39,17,7,7.38,MX,1681787606
512,niquelandia,-14.4739,-48.4597,24.09,77,59,1.43,BR,1681787606
513,keila,59.3036,24.4131,3.01,77,0,1.14,EE,1681787606
514,isfara,40.1265,70.6253,7.86,59,100,9.24,TJ,1681787607
515,kegeyli shahar,42.7767,59.6078,4.05,36,0,10.96,UZ,1681787607
516,kupang,-10.1667,123.5833,31.32,70,40,10.36,ID,1681787607
517,san jose del guaviare,2.5729,-72.6459,22.87,96,71,1.63,CO,1681787607
518,newman,37.3138,-121.0208,13.36,68,95,3.31,US,1681787607
519,strugi-krasnyye,58.2675,29.1114,1.21,76,52,4.65,RU,1681787608
520,hassi messaoud,31.6804,6.0729,18.17,27,1,7.61,DZ,1681787608
521,gunjur,13.2019,-16.7339,24.04,64,0,6.91,GM,1681787608
522,kharp,66.8014,65.8081,-8.01,69,17,4.43,RU,1681787608
523,loukhi,66.0764,33.0381,-2.99,94,45,2.28,RU,1681787609
524,kirakira,-10.4544,161.9205,27.84,75,96,4.38,SB,1681787609
525,port macquarie,-31.4333,152.9167,23.27,51,47,7.99,AU,1681787609
526,egilsstadir,65.2653,-14.3948,6.05,92,100,11.74,IS,1681787610
527,wuhai,39.6647,106.8122,20.83,12,3,20.38,CN,1681787610
528,hasaki,35.7333,140.8333,17.38,70,99,17.16,JP,1681787545
529,champerico,14.3,-91.9167,28.86,62,14,5.19,GT,1681787610
530,mar del plata,-38.0023,-57.5575,12.83,87,80,1.99,AR,1681787611
531,barra de santo antonio,-9.4047,-35.5072,25.6,86,100,4.16,BR,1681787611
532,shiyan,32.6475,110.7781,26.86,54,100,6.64,CN,1681787611
533,leh,34.1667,77.5833,2.34,80,100,5.14,IN,1681787611
534,tongliao,43.6125,122.2653,15.14,16,0,17.65,CN,1681787612
535,santa cruz de yojoa,14.9833,-87.9,20.58,92,7,2.77,HN,1681787612
536,villa gesell,-37.2639,-56.973,11.7,76,72,9.84,AR,1681787612
537,manokwari,-0.8667,134.0833,27.69,78,100,3.49,ID,1681787612
538,codrington,-38.2667,141.9667,21.46,50,0,16.11,AU,1681787612
539,palora,-1.7,-77.9333,19.43,97,100,1.59,EC,1681787612
540,saint-hilaire-de-talmont,46.47,-1.6036,6.46,92,4,12.39,FR,1681787613
541,tierp,60.3427,17.5181,-1.1,97,42,7.49,SE,1681787613
542,kruisfontein,-34.0033,24.7314,13.85,59,0,4.16,ZA,1681787613
543,nicoya,10.1483,-85.452,27.29,71,94,2.98,CR,1681787613
544,akrehamn,59.2667,5.1833,6.9,81,12,6.91,NO,1681787614
545,san andres,12.5847,-81.7006,27.01,74,20,11.5,CO,1681787614
546,aguada de pasajeros,22.385,-80.8508,23.27,77,91,6.44,CU,1681787614
547,bhadasar,28.2833,74.3167,32.04,23,1,16.67,IN,1681787614
548,brady,31.1352,-99.3351,21.31,26,40,10.36,US,1681787614
549,luba,3.4568,8.5547,27.4,81,94,2.44,GQ,1681787614
550,uusikaupunki,60.8004,21.4084,1.78,93,2,10.22,FI,1681787615
551,shalqar,47.8333,59.6,4.13,59,11,7.23,KZ,1681787615
552,moranbah,-22.0016,148.0466,26.66,56,100,15.23,AU,1681787473
553,santa vitoria do palmar,-33.5189,-53.3681,12.37,75,19,3.29,BR,1681787615
554,thinadhoo,0.5333,72.9333,28.36,68,60,2.95,MV,1681787615
555,fonte boa,-2.4959,-66.2662,22.99,95,100,2.17,BR,1681787616
556,kuandian,40.7286,124.7847,16.42,41,2,8.55,CN,1681787616
